Signatura,Denominació comercial,Subgrups,Grups,Categoria,Inici d'activitat,Estat,Municipi,Localitat,Adreça,UTM (X),UTM(Y),Places,Nombre habitacions,Explotador/s,Columna amb nova georeferència
H/1729,TORRE AZUL & SPA,Hotel,Allotjaments,4 estrelles,01/01/1968,Alta,LLUCMAJOR,Arenal (L'),"SANT BARTOMEU, 24. 07600 Arenal (L'), LLUCMAJOR, Mallorca","478,925.178152","4,372,172.66562",253,133,FERGUSDOR S.L. (B57813610),POINT (2.7548880757451952 39.49891408512363)
H/1730,Hostal Villa Sense,Hostal,Allotjaments,1 estrella,06/04/1968,Alta,CALVIÀ,Peguera,"Carrer TALAIA, 5. 07160 Peguera, CALVIÀ, Mallorca","454,585.694735","4,381,327.7053",15,8,JOHN PAGUERA SL (B07150386)  des de 03/07/2020,POINT (2.4711889754788414 39.580460887881166)
H/1731,VILLA COLUMBUS,Hostal residència,Allotjaments,2 estrelles,31/05/1968,Alta,CALVIÀ,Peguera,"PALMIRA, 12 planta BJS. 07160 Peguera, CALVIÀ, Mallorca","452,774.097613","4,376,816.16447",51,30,INSTALACIONES HOTELERAS COLUMBUS SA (A07017023),POINT (2.450416282170725 39.53971367362993)
H/1732,SUTIMAR,Hostal residència,Allotjaments,3 estrelles,03/05/1968,Alta,CALVIÀ,Peguera,"PALMIRA, 9, S/N. 07160 Peguera, CALVIÀ, Mallorca","452,789.069889","4,376,721.32706",36,18,CATALINA JAUME AMENGUAL,POINT (2.45059724908372 39.53886000226043)
H/1736,ALONDRA,Hotel,Allotjaments,3 estrelles,24/04/1968,Alta,CAPDEPERA,Cala Rajada,"Carrer D'ES FARALLO, 5. 07590 Cala Rajada, CAPDEPERA, Mallorca","539,416.41952","4,395,829.55427",290,160,INDUSTRIAS TURISTICAS LEVANTE MALLORQUIN SA (A07018963),POINT (3.459837694366632 39.71142029804171)
H/1738,LUNA,Hotel,Allotjaments,3 estrelles,01/04/1968,Alta,LLUCMAJOR,Arenal (L'),"Carrer MOSSEN ANTONI MARIA ALCOVER, 8. 07600 Arenal (L'), LLUCMAJOR, Mallorca","478,832.320373","4,372,030.16932",421,221,"HOTEL LUNA PARK, SL (B07042823)",POINT (2.753812626752859 39.497627840361154)
H/1739,MAR DEL PLATA,Hostal residència,Allotjaments,1 estrella,26/04/1968,Alta,PALMA,Platja De Palma,"MILITAR, 252. 07600 PALMA, Mallorca","478,829.205142","4,373,011.15131",30,15,ISABEL FERNANDA SIRI CARVALLO,POINT (2.7537452038130747 39.50646689677245)
H/174,JAIME JAUME,Hostal residència,Allotjaments,1 estrella,01/01/1949,Alta,PALMA,Palma,"FRA LLUIS JAUME, 62. 07004 PALMA, Mallorca","470,396.11775","4,381,466.8296",51,30,Mateo Jaume Ponseti des de 24/02/2023,POINT (2.655277753025451 39.58240636903768)
H/1742,HM Dunas Blancas.,Hotel,Allotjaments,4 estrelles,01/01/1968,Alta,PALMA,Platja De Palma,"Carrer TRASIMENO, 12. Platja De Palma, PALMA, Mallorca","478,599.228063","4,373,321.65172",322,167,DUNAS BLANCAS SA (A07017239),POINT (2.751060193192474 39.50925895907373)
H/1747,BELLA MAR,Hotel,Allotjaments,3 estrelles,01/01/1968,Alta,CAPDEPERA,Cala Rajada,"MENDEZ NUÑEZ, 11. 07590 Cala Rajada, CAPDEPERA, Mallorca","539,416.41952","4,395,829.55427",198,107,HERMANOS NICOLAU SA (A07051469),POINT (3.459837694366632 39.71142029804171)
H/1748,C'AN GALLU,Hostal residència,Allotjaments,1 estrella,23/04/1968,Alta,CAPDEPERA,Cala Rajada,"JUAN SEBASTIAN ELCANO,63, S/N. 07590 Cala Rajada, CAPDEPERA, Mallorca","539,416.41952","4,395,829.55427",23,12,ANTONIA MOLINA MEJIAS,POINT (3.459837694366632 39.71142029804171)
H/1749,SABINA SUITES,Hotel,Allotjaments,4 estrelles,01/01/1968,Alta,SON SERVERA,Cala Millor,"Carrer NA PEÑAL, S/N. 07560 Cala Millor, SON SERVERA, Mallorca","532,931.11682","4,383,595,477",444,229,HOTEL SABINA SA (A07007826),POINT (-177.38882365859263 -40.53157333539034)
H/1751,FARRUTX,Hotel,Allotjaments,4 estrelles,01/01/1968,Alta,SANTA MARGALIDA,Can Picafort,"MIQUEL DEL SANTS OLIVER, 3",,,349,174,HOTEL FARRUTX SA (A07025554),
H/1752,SA ROQUETA,Hotel,Allotjaments,2 estrelles,04/05/1968,Alta,SANTA MARGALIDA,Can Picafort,"SILENCI, 18",,,21,11,SERVICIOS Y CONSTRUCCIONES MADEIRA SA (A07248354),
H/1758,SON BAULO,Hotel,Allotjaments,3 estrelles,21/05/1968,Alta,SANTA MARGALIDA,Can Picafort,"Carrer RONDA DEL TORRENTE, 1. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","514,298.4461945","4,400,932.14269",477,251,"HOTEL SON BAULO, CB (E07144785)",POINT (3.1669208107523508 39.758186278975856)
H/1759,JS HOTEL CAN PICAFORT,Hotel,Allotjaments,3 estrelles,01/01/1968,Alta,SANTA MARGALIDA,Can Picafort,"Carrer VIA ALEMANYA, 2. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","512,962.806353","4,401,858.240515",185,100,LINDA MAR SL (B07452725),POINT (3.151346800891174 39.76655192685486)
H/1760,IPANEMA PARK,Hotel,Allotjaments,3 estrelles,27/05/1968,Alta,LLUCMAJOR,Arenal (L'),"Carrer MOSSEN ANTONI MARIA ALCOVER, 11. 07620 Arenal (L'), LLUCMAJOR, Mallorca","478,840.502627","4,372,040.32305",409,210,HOTELES MANILA SA (A07018831),POINT (2.7539074657362876 39.497719532015104)
H/1761,INNSIDE BY MELIA CALVIA BEACH,Hotel,Allotjaments,4 estrelles,27/05/1968,Alta,CALVIÀ,Magaluf,"Passeig MAGALLUF, S/N. 07181 Magaluf, CALVIÀ, Mallorca","459,894.184252","4,373,141.21858",594,272,"AYOSA HOTELES, SL (B57815656)  des de 27/06/2018",POINT (2.5334939148821243 39.50696373659676)
H/1763,JS HOTEL YATE,Hotel,Allotjaments,4 estrelles,06/04/1968,Alta,SANTA MARGALIDA,Can Picafort,"Carrer VIA FRANÇA, 12. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","513,041.470584","4,401,862.85669",296,156,"HOTEL YATE, SL (B07048952)",POINT (3.152265330997749 39.766592317984575)
H/1764,AZULINE HOTEL BAHAMAS,Hotel,Allotjaments,3 estrelles,01/01/1968,Alta,LLUCMAJOR,Arenal (L'),"Avinguda D'EUROPA,S/N, S/N. 07620 Arenal (L'), LLUCMAJOR, Mallorca","478,889.627717","4,372,100.00921",468,239,ARENALINE S.L (B57933160),POINT (2.7544769111773624 39.4982585421137)
H/1765,SOL Y LUNA CALA MILLOR,Casa d'hostes,Allotjaments,,30/04/1968,Alta,SON SERVERA,Cala Millor,"Avinguda JOAN SERVERA CAMPS, 23. 07560 Cala Millor, SON SERVERA, Mallorca","532,966.346182","4,383,864.92685",20,10,"THE CROWN CALA MILLOR, S.L. (B57179525)  des de 08/02/2023",POINT (3.3839949327032945 39.60389104130848)
H/1774,SUR MALLORCA,Hotel,Allotjaments,4 estrelles,01/01/1968,Alta,SES SALINES,Colònia De Sant Jordi,"CRISTOFOL COLON, S/N. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca","498,800.610566","4,352,081.88868",390,200,HOTEL SANT JORDI SA (A07019524),POINT (2.98608639616372 39.3181391843594)
H/1775,ATOLON,Hotel,Allotjaments,4 estrelles,01/01/1968,Alta,SON SERVERA,Cala Bona,"Passeig MARITIM, 42. 07559 Cala Bona, SON SERVERA, Mallorca","533,445.341089","4,384,289.81452",194,97,SERVERA SL (B07020191),POINT (3.3895956412642203 39.607700794601215)
H/1780,MORLANS,Hotel,Allotjaments,3 estrelles,17/05/1968,Alta,CALVIÀ,Peguera,"GAVINES, 16. 07160 Peguera, CALVIÀ, Mallorca","453,453.599723","4,376,560.95367",110,60,MIMAGO SL (B07622368),POINT (2.45834141659017 39.53745131233634)
H/1781,Katya,Hostal residència,Allotjaments,2 estrelles,01/01/1968,Alta,CALVIÀ,Peguera,"MALGRAT, 2. 07160 Peguera, CALVIÀ, Mallorca","452,729.584241","4,376,640.09738",52,26,Hostal Katya CB (E05274949)  des de 17/05/2021,POINT (2.4499108103804 39.53812484039515)
H/1783,GOLF BEACH,Hotel,Allotjaments,2 estrelles,06/06/1968,Alta,CALVIÀ,Santa Ponça,"REI JAUME I, 106. 07180 Santa Ponça, CALVIÀ, Mallorca","455,737.237711","4,374,185.13318",69,36,PV CALVIA EXPOTUR SL (B07977333),POINT (2.4850731216954642 39.51616554794078)
H/1785,PISCIS,Hotel,Allotjaments,3 estrelles,23/07/1968,Alta,ALCÚDIA,Port D'Alcúdia,"Carrer TEODOR CANET, 41. 07410 Port D'Alcúdia, ALCÚDIA, Mallorca","511,474.252842","4,410,337.59676",392,206,"HOTELS & RESORTS BLUE SEA MANAGEMENT, SL (B57817215)  des de 20/06/2019",POINT (3.134115644402713 39.84297298679203)
H/1786,NORDESTE PLAYA,Hotel,Allotjaments,3 estrelles,07/06/1968,Alta,SANTA MARGALIDA,Can Picafort,"Carrer VIA FRANÇA, 10. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","513,077.164254","4,401,933.78737",442,233,HOTEL NORDESTE SA (A07029655),POINT (3.152683481731536 39.76723086547046)
H/1787,LA CEIBA,Hostal residència,Allotjaments,2 estrelles,12/06/1968,Alta,SANTANYÍ,Cala D'Or,"CALONGE, 2. 07660 Cala D'Or, SANTANYÍ, Mallorca","519,558.462405","4,357,951.79268",26,13,NATIVIDAD ANTONIA VEÑY VAQUER,POINT (3.227059608256278 39.370811164658576)
H/1788,AluaSoul Carolina,Hotel,Allotjaments,4 estrelles,10/06/1968,Alta,CAPDEPERA,Font De La Cala,"Avinguda PROVENÇALS,FONT DE SA CALA, S/N. 07590 Font De La Cala, CAPDEPERA, Mallorca","536,639.913567","4,394,218.80233",411,216,"Roc Hotels International, S.L. (B07833841)  des de 15/06/2021",POINT (3.4273579135649506 39.69703116581443)
H/1793,TRES PLAYAS,Hotel,Allotjaments,4 estrelles,01/01/1968,Alta,SES SALINES,Colònia De Sant Jordi,"Carrer ESMERALDA, 6. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca","498,758.579374","4,352,717.20125",257,137,"TRES PLAYAS OPERATIONS, S.L.U. (B67970517)  des de 30/01/2023",POINT (2.985597636379633 39.32386383716722)
H/1794,VILLA CATI,Hostal,Allotjaments,2 estrelles,21/06/1968,Alta,CALVIÀ,Peguera,"PALMIRA, 8, S/N. 07160 Peguera, CALVIÀ, Mallorca","452,799.999325","4,376,733.48516",39,25,"HOSTAL VILLA CATI, SL (B57782526)",POINT (2.4507235680993102 39.538970149100734)
H/1795,Morlans Garden 4,Hotel,Allotjaments,3 estrelles,21/06/1968,Alta,CALVIÀ,Peguera,"Carrer GAVIOTAS, 13. 07160 Peguera, CALVIÀ, Mallorca","453,317.691456","4,376,546.51839",60,30,MIMAGO SL (B07622368),POINT (2.456760938047909 39.53731386835761)
H/1796,SEASUN FONA-ADULTS ONLY HOTEL,Hotel,Allotjaments,4 estrelles,01/01/1969,Alta,SANT LLORENÇ DES CARDASSAR,Illot (L'),"Carrer GREGAL, 19. 07687 Illot (L'), SANT LLORENÇ DES CARDASSAR, Mallorca","524,762.183362","4,385,136.27426",185,98,BINIARAIX SA (A07039761)  des de 15/02/2018,POINT (3.2884809771700825 39.61562278365187)
H/1800,GLOBALES PALMANOVA PALACE,Hotel,Allotjaments,4 estrelles,21/06/1968,Alta,CALVIÀ,Palmanova,"Carrer MIGUEL DE LOS SANTOS OLIVER, 15. 07181 Palmanova, CALVIÀ, Mallorca","460,011.556671","4,375,043.37634",361,185,"AMLA EXPLOTACIONES TURISTICAS, SA (A83791558)",POINT (2.534744816641154 39.5241081417079)
H/1802,MANAUS,Hotel,Allotjaments,3 estrelles,02/07/1968,Alta,LLUCMAJOR,Arenal (L'),"Carrer JOSEP MARIA QUADRADO, 7. 07600 Arenal (L'), LLUCMAJOR, Mallorca","478,880.715889","4,371,976.29912",195,101,"CRYSTAL CIRCUS, SL (B07508997)",POINT (2.7543771866771083 39.49714363318809)
