Signatura,Denominació comercial,Subgrups,Grups,Categoria,Inici d'activitat,Estat,Municipi,Localitat,Adreça,UTM (X),UTM(Y),Places,Nombre habitacions,Explotador/s,Columna amb nova georeferència
AT/2163,MAR Y PAZ,Apartaments turístics,Allotjaments,1 clau,09/12/2002,Alta,SANTA MARGALIDA,Can Picafort,"ISABEL GARAU, 2. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","513,933.16224","4,401,564.40083",114,30,"PICOTEL, SL (B07277528)",POINT (3.1626698860253453 39.763889066631926)
AT/2165,COMPANY,Apartaments turístics,Allotjaments,2 claus,09/12/2002,Alta,POLLENÇA,Port De Pollença,"GOMMAR, SOLARS 84 I 85, S/N. 07470 Port De Pollença, POLLENÇA, Mallorca","505,979.1535205","4,416,408.32075",42,9,"XIRIBAUBIUBAU, SL (B16588550)  des de 09/05/2019",POINT (3.0699423245433604 39.89772667110718)
AT/2166,ARCADIA,Apartaments turístics,Allotjaments,2 claus,09/12/2002,Alta,SON SERVERA,Cala Millor,"RAFALET, 2. 07560 Cala Millor, SON SERVERA, Mallorca","533,127.585571","4,383,786.28063",38,12,ARCADIA CALA MILLOR SL (B07886575),POINT (3.385869090688782 39.60317619975886)
AT/2167,APARTAMENTOS PROPE MARE,Apartaments turístics,Allotjaments,3 claus,05/02/2003,Alta,SANT LLORENÇ DES CARDASSAR,Cala Millor,"Carrer CARAVEL·LES, 3, URB. SON MORO, S/N. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca","532,986.980109","4,383,303.24371",40,17,TOT BAUXA SL (B57040206)  des de 15/11/2022,POINT (3.384207307642993 39.59882935768089)
AT/2169,JADE,Apartaments turístics,Allotjaments,3 claus,26/05/2003,Alta,PALMA,Platja De Palma,"Carrer AGUSTÍ CATANY, 8. 07600 Platja De Palma, PALMA, Mallorca","478,284.343567","4,374,168.42163",92,46,APARTAMENTOS JADE S.A (A07302243),POINT (2.747369768551802 39.51688085627987)
AT/2171,PAGUERA PARK,Apartaments turístics,Allotjaments,3 claus,05/04/2004,Alta,CALVIÀ,Peguera,"Carrer ATALAYA - TAMARINDO, 10. 07160 Peguera, CALVIÀ, Mallorca","452,596.81177","4,376,598.96573",188,66,MITTENWALD SA (A07016025)  des de 15/05/2019,POINT (2.448368728392882 39.53774691791764)
AT/2172,INTUROTEL AZUL GARDEN,Apartaments turístics,Allotjaments,3 claus,08/06/2004,Alta,SANTANYÍ,Cala D'Or,"Carrer S'ESPALMADOR, 43. 07660 Cala D'Or, SANTANYÍ, Mallorca","520,411.09080000035","4,358,822.5756",252,126,"CALA AZUL PARK, SA (A07207186)",POINT (3.2369844555878813 39.37863779293627)
AT/2173,EL MONTELYN,Apartaments turístics,Allotjaments,4 claus,22/07/2004,Alta,POLLENÇA,Port De Pollença,"BOIA, S/N, S/N. 07470 POLLENÇA, Mallorca","506,635.930761","4,416,720.71238",48,24,ALOJAMIENTOS TURÍSTICOS VILLA CONCHA SL (B57854069)  des de 02/05/2013,POINT (3.0776282749891584 39.90053641678721)
AT/2174,CLUB DEL SOL,Apartaments turístics,Allotjaments,3 claus,11/05/2005,Alta,POLLENÇA,Port De Pollença,"PORT DE POLLENÇA - ALCÚDIA KM 62,3, S/N. 07470 POLLENÇA, Mallorca","502,532.270311","4,415,189.50036",126,42,CLUB DEL SOL POLLENSA SA (A07017676),POINT (3.029617012029544 39.886762444104896)
AT/2175,MARINA PLAYA,Apartaments turístics,Allotjaments,3 claus Superior,17/11/2005,Alta,SÓLLER,Port (El),"Passeig LA PLAYA, 5. 07108 Port (El), SÓLLER, Mallorca","473,528.34","4,404,558.5",82,33,MARIMAT SA (A07141930),POINT (2.6908238029921616 39.79056848990684)
AT/2176,FERRERA PINS,Apartaments turístics,Allotjaments,2 claus,08/09/2006,Alta,FELANITX,Cala Ferrera,"Carrer SA PARTIÓ, S/N. 07669 Cala Ferrera, FELANITX, Mallorca","520,317.581971","4,359,070.75281",49,17,JOMAR 2018 CB (E16573966)  des de 30/01/2019,POINT (3.2359063003698516 39.3808762472619)
AT/2178,MARRIOTT CLUB SON ANTEM,Apartaments turístics,Allotjaments,4 claus,15/06/2007,Alta,LLUCMAJOR,Llucmajor,"DE LLUCMAJOR, MA20, KM. 3,400, S/N. 07600 LLUCMAJOR, Mallorca","485,241.526209","4,370,692.86323",936,224,"MVCI MANAGEMENT,SL (B29768413)",POINT (2.8283831342545818 39.485711907780434)
AT/2179,MIX APARTAMENTOS TURISTICOS BR,Apartaments turístics,Allotjaments,3 claus,24/10/2008,Alta,PALMA,Platja De Palma,"TRASIMENO, 44. 07610 PALMA, Mallorca","478,696.148266","4,373,046.64337",82,41,"GLOBALES BED CONTRACTOR, SL (B07998792)",POINT (2.7521963883292346 39.50678340911752)
AT/2180,VILLA REAL,Apartaments turístics,Allotjaments,2 claus,25/03/2010,Alta,ANDRATX,Camp De Mar,"Via FRANCISCA CAPLLONCH PLOMER, 6. 07160 Camp De Mar, ANDRATX, Mallorca","450,364.1433285","4,377,010.51065",98,32,HOTELERA CAMP DE MAR VILLARREAL SL (B07153570),POINT (2.422357622404522 39.54132876293419)
AT/2182,DELFIN,Apartaments turístics,Allotjaments,4 claus,15/10/2013,Alta,PALMA,Can Pastilla,"Avinguda BARTOMEU RIUTORT, 59. 07610 Can Pastilla, PALMA, Mallorca","476,216.646872","4,376,015.29568",46,10,Mas Horrach Serveis Mallorquins SLU (B57180788)  des de 20/02/2020,POINT (2.7232493145964165 39.53346723846974)
AT/2183,PIERRE & VACANCES MALLORCA CECILIA,Apartaments turístics,Allotjaments,3 claus,29/09/2017,Alta,FELANITX,Portocolom,"Carrer GAVINA, S/N. 07670 Portocolom, FELANITX, Mallorca",,,48,12,"SOCIEDAD DE EXPLOTACION TURÍSTICA PIERRE & VACANCES ESPAÑA, SL (B84078419)",
AT/2184,COSTA BRAVA,Apartaments turístics,Allotjaments,4 claus,01/07/2015,Alta,SÓLLER,Port (El),"DE LA PLATJA, 8. Port (El), SÓLLER, Mallorca","473,528.34","4,404,558.5",39,9,DORTI SL (B07172596),POINT (2.6908238029921616 39.79056848990684)
AT/2185,ALBORADA,Apartaments turístics,Allotjaments,4 claus,12/09/2014,Alta,SON SERVERA,Cala Millor,"Passeig MARÍTIMO, 10. 07560 Cala Millor, SON SERVERA, Mallorca","533,197.07138","4,383,833.129175",18,6,MARIA ANTONIA GELABERT VIÑAS des de 24/05/2022,POINT (3.3866807895957103 39.60359562450329)
AT/2186,CALA MURADA TENNIS,Apartaments turístics,Allotjaments,3 claus,29/09/2017,Alta,MANACOR,Cala Murada,"Via EUROPA, 23. 07688 Cala Murada, MANACOR, Mallorca",,,32,16,CRIMON SA (A07069958),
AT/2187,APARTAMENTOS BLUE SEA DON JAIME,Apartaments turístics,Allotjaments,2 claus,29/09/2017,Alta,SON SERVERA,Cala Millor,"Carrer SA JORDANA, 17. 07560 Cala Millor, SON SERVERA, Mallorca",,,68,25,"HOTELS & RESORTS BLUE SEA MANAGEMENT, SL (B57817215)  des de 20/06/2019",
AT/2189,BEACH4U,Apartaments turístics,Allotjaments,4 claus,29/09/2017,Alta,PALMA,Can Pastilla,"Carrer PINS, 38 pis BJ. 07610 Can Pastilla, PALMA, Mallorca",,,20,4,LUIS RADO FIOL,
AT/2190,THE HYPE,Apartaments turístics,Allotjaments,4 claus,20/07/2018,Alta,PALMA,Platja De Palma,"Carrer GRUA, 2. 07610 Platja De Palma, PALMA, Mallorca","476,809.21640000027","4,375,598.210899999",28,9,BE YU INVESTMENTS SL (B57865693)  des de 20/07/2018,POINT (2.7301591187323972 39.529725336057496)
AT/2191,ARCADIO,Apartaments turístics,Allotjaments,2 claus,25/05/1970,Alta,PALMA,Platja De Palma,"Carrer CUARTEL, 35. 07600 Platja De Palma, PALMA, Mallorca","478,790.717185","4,373,111.29397",57,17,"PROYECTOS INBEAN, SL (B57499378)",POINT (2.7532943320827505 39.5073682818219)
AT/2192,TERRENO STUDIOS,Apartaments turístics,Allotjaments,4 claus,24/09/1963,Alta,PALMA,Palma,"Carrer BRIGADIER JOAQUIN RUIZ DE PORRAS, 3. 07015 PALMA, Mallorca","467,768.864826","4,379,176.31632",53,13,TERRENO STUDIOS MALLORCA S.L (B44934438)  des de 06/06/2023,POINT (2.624796578618807 39.561673433222595)
AT/2193,POSIDONIA,Apartaments turístics,Allotjaments,4 claus,21/03/2019,Alta,SES SALINES,Colònia De Sant Jordi,"Carrer CARAVEL·LA, 12. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca","498,889.7949000001","4,352,586.0375",58,15,BENDUITA SL (B07870082)  des de 21/03/2019,POINT (2.9871201523847946 39.322682117930036)
AT/2194,CALA MORLANDA ESTUDIOS,Apartaments turístics,Allotjaments,3 claus,15/06/1981,Alta,MANACOR,L'Illot-Cala Morlanda,"PAGELL, 26. 07687 L'Illot-Cala Morlanda, MANACOR, Mallorca",,,48,16,BEDS & ROOMS PINOMAR S.L. (B57851941),
AT/2195,Samaritana Pied-à-Terre,Apartaments turístics,Allotjaments,4 claus Superior,14/01/2020,Alta,PALMA,Palma,"Carrer PES DE LA FARINA, 2. 07001 PALMA, Mallorca","470,208.9315999998","4,380,114.993899999",18,9,"HIDDEN AWAY HOTELS, SL (B57676108)  des de 14/01/2020",POINT (2.6531588125059695 39.57021944117423)
AT/2196,HAPIMAG,Apartaments turístics,Allotjaments,3 claus Superior,11/03/2010,Alta,CALVIÀ,Peguera,"Carrer URBANITZACIO LA ROMANA, SN. 07160 Peguera, CALVIÀ, Mallorca","453,470.84","4,376,078",566,245,HAPIMAG ESPAÑA SLU (B07038284),POINT (2.4585758382583474 39.533100774913535)
AT/2197,The Boc Suites,Apartaments turístics,Allotjaments,4 claus,19/02/2020,Alta,PALMA,Palma,"Carrer Reina Maria Cristina, 51. 07004 PALMA, Mallorca",,,36,9,"OLIVER MATEU PROMOCIONES Y PROYECTOS, SL (B07876865)  des de 19/02/2020",
AT/2199,Apartamentos Tortuga del Mar,Apartaments turístics,Allotjaments,4 claus,23/06/2022,Alta,PALMA,Arenal (L'),"Carrer GERMA BIANOR, 1 lletra A. 07600 Arenal (L'), PALMA, Mallorca","478,607.5647","4,373,181.9242",42,15,Luai Chadid (X4270791J)  des de 23/06/2022,POINT (2.7511616573120823 39.508000154255576)
AT/2200,Colonia Beach Front House Es Turó,Apartaments turístics,Allotjaments,1 clau,23/04/1966,Alta,SES SALINES,Colònia De Sant Jordi,"Carrer INGENIERO ROCA, 38. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca","499,689.872815","4,351,828.50088",18,2,SANTA CLARA LIBRE SL (B57040081),POINT (2.9964024640659774 39.315856716811425)
AT/2201,KOMPAS,Apartaments turístics,Allotjaments,2 claus,01/01/1967,Alta,CALVIÀ,Palmanova,"Passeig DEL MAR, 54. 07181 Palmanova, CALVIÀ, Mallorca","460,075.245537","4,374,531.72277",28,14,"BODDAMLESS, S.L. (B57801771)  des de 27/02/2023",POINT (2.5355165077850152 39.519500977995726)
AT/442,Bonavida apartaments,Apartaments turístics,Allotjaments,2 claus,02/12/1972,Alta,ALCÚDIA,Port D'Alcúdia,"Carrer MINERVA, 31. 07410 Port D'Alcúdia, ALCÚDIA, Mallorca","510,263.149299","4,409,339.00492",72,24,Solixent SL (B07140999)  des de 15/02/2021,POINT (3.119944160798631 39.8339911406022)
AT/569,PIZA,Apartaments turístics,Allotjaments,1 clau,16/06/1972,Alta,SES SALINES,Colònia De Sant Jordi,"NA GUARDIA, 10. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca","499,614.869526","4,351,596.07204",32,8,"APARTAMENTS MIRANT CABRERA, SL (B57743049)",POINT (2.9955325444599548 39.313762300831996)
AT/588,PLAYA DOR,Apartaments turístics,Allotjaments,2 claus,14/10/1972,Alta,SANTANYÍ,Cala D'Or,"S'ESTEL,S/N, S/N. 07660 Cala D'Or, SANTANYÍ, Mallorca","520,160.987752","4,358,236.91456",162,27,COMUNIDAD PROPIETARIOS APARTAMENTOS PLAYA D'OR (H07580954),POINT (3.2340630158931862 39.37336645537579)
AT/594,MALLORCA,Apartaments turístics,Allotjaments,3 claus,21/11/1972,Alta,SON SERVERA,Cala Millor,"DEL PI, URBANITZACIÓ CALIFORNIA, 4. 07560 Cala Millor, SON SERVERA, Mallorca","532,601.565704","4,383,631.65308",32,12,APARTAMENTOS MALLORCA SL (B07039670),POINT (3.379734545696035 39.60180315727567)
AT/626,PETIT BLAU,Apartaments turístics,Allotjaments,1 clau,13/05/1974,Alta,CALVIÀ,Peguera,"Carrer DRAGONERA, 6. 07160 Peguera, CALVIÀ, Mallorca","452,680.1593","4,376,689.32636",24,8,GREMGIL CB (E07522808)  des de 03/07/2012,POINT (2.449332168733654 39.53856567540542)
AT/634,SOL Y VERA,Apartaments turístics,Allotjaments,2 claus,30/04/1974,Alta,CALVIÀ,Magaluf,"S'OLIVERA, 5. 07181 Magaluf, CALVIÀ, Mallorca","459,744.028198","4,373,085.48368",265,91,SOL Y VERA SA (A07020951),POINT (2.5317507426541224 39.5064545289283)
AT/639,ZAFIRO CALA MESQUIDA PARK,Apartaments turístics,Allotjaments,3 claus,29/10/1974,Alta,CAPDEPERA,Cala Mesquida,"URBANITZACIO CALA MESQUIDA, S/N. 07580 Cala Mesquida, CAPDEPERA, Mallorca","536,823.781219","4,399,456.13102",270,90,INVERSIONES PLOMER SL (B07985823),POINT (3.4297952678991166 39.7442115026228)
AT/644,ALDEA CALA FORNELLS I,Apartaments turístics,Allotjaments,3 claus,29/10/1974,Alta,CALVIÀ,Cala Fornells,"Carretera CALA FORNELLS-PAGUERA, 35. 07160 Cala Fornells, CALVIÀ, Mallorca","452,517.857721","4,376,432.65752",108,37,APARTAMENTOS ALDEA CALA FORNELLS I CB (E07504756),POINT (2.4474618602045077 39.53624409988518)
AT/688,NIU DAUS,Apartaments turístics,Allotjaments,3 claus,01/07/1975,Alta,SANTANYÍ,Portopetro,"S'ESTEL D'ARGENT,18-CALA EGOS, S/N. 07691 Portopetro, SANTANYÍ, Mallorca","518,474.227409","4,357,133.05312",48,18,PROJECTES EUROTURISME SL (B07815543),POINT (3.2144499436142246 39.363457606922076)
AT/710,SUREDA,Apartaments turístics,Allotjaments,1 clau,14/08/1975,Alta,CAPDEPERA,Canyamel,"VIA DEL FORNER, 59. 07589 Canyamel, CAPDEPERA, Mallorca","536,639.913567","4,394,218.80233",80,20,JUAN SUREDA GIRART,POINT (3.4273579135649506 39.69703116581443)
AT/809,MAGALLUF PLAYA I,Apartaments turístics,Allotjaments,2 claus,02/02/1977,Alta,CALVIÀ,Magaluf,"GALIO, 3. 07182 Magaluf, CALVIÀ, Mallorca","459,974.124334","4,373,442.99613",216,54,APARTAMENTOS MAGALLUF PLAYA SLU (B07046444),POINT (2.534405592575529 39.509686561129385)
AT/858,FERRERA PARK,Apartaments turístics,Allotjaments,2 claus,08/01/1977,Alta,FELANITX,Cala Ferrera,"Avinguda FELANITX, S/N. 07669 Cala Ferrera, FELANITX, Mallorca","520,513.545588","4,358,790,956",78,15,GESTIÓN Y MANTENIMIENTO SA (A07133549),POINT (3.184586332499511 -2.911015383455856)
CA/5,VALENTIN PLAYA DE MURO,Camping,Allotjaments,Luxe,16/08/1984,Alta,MURO,Muro,"ARTA - PORT ALCUDIA,KM.23,3, S/N. 07440 MURO, Mallorca",,,500,163,"ALGEBELI, SA (A07069669)",
HA/1098,GALEON,Hotel apartament,Allotjaments,4 estrelles,31/10/1969,Alta,POLLENÇA,Port De Pollença,"Passeig LONDRES, 84-86. 07470 Port De Pollença, POLLENÇA, Mallorca","506,678.780181","4,415,964.57878",68,14,TENIS INVEST S.L. (B57208092)  des de 11/02/2023,POINT (3.078121798783012 39.89372335052682)
HA/1100,PLAYA MONDRAGO,Hotel apartament,Allotjaments,3 estrelles,04/06/1964,Alta,SANTANYÍ,Cala Mondragó,"CALA MONDRAGO, S/N. 07691 Cala Mondragó, SANTANYÍ, Mallorca","516,322.13","4,355,944.88",93,49,PLAYA MONDRAGO SL (B07314677),POINT (3.1894394842752374 39.35279462591735)
HA/1191,BEACH CLUB FONT DE SA CALA,Hotel apartament,Allotjaments,4 estrelles Superior,01/01/1966,Alta,CAPDEPERA,Font De La Cala,"CANYAMEL, 48. 07589 Font De La Cala, CAPDEPERA, Mallorca","538,841.537494","4,391,954.17313",840,421,HOTELES MOLL SL (B07599996),POINT (3.4529029864860816 39.67652949120558)
HA/1237,OCCIDENTAL PLAYA DE PALMA,Hotel apartament,Allotjaments,4 estrelles,13/04/1965,Alta,PALMA,Platja De Palma,"Carrer FRA JOAN LLABRES, 16. 07600 Platja De Palma, PALMA, Mallorca","478,452.665927","4,374,231.40474",694,275,"BARCELO EXPLOTACIONES HOTELERAS MEDITERRÁNEO, SL. (B35820679)",POINT (2.749325898116308 39.517452602307024)
HA/1383,CANYAMAR BEACH HOTEL,Hotel apartament,Allotjaments,1 estrella,31/07/1965,Alta,CAPDEPERA,Canyamel,"COSTA I LLOBERA, 106. 07589 Canyamel, CAPDEPERA, Mallorca","536,639.913567","4,394,218.80233",20,6,"CANYAMAR,CB (E57952905)",POINT (3.4273579135649506 39.69703116581443)
HA/1392,MORITO,Hotel apartament,Allotjaments,3 estrelles,26/08/1965,Alta,SANT LLORENÇ DES CARDASSAR,Cala Millor,"Carrer BONANÇA, 20. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca","532,857.075238","4,383,091.0529",243,126,"OLSAEN, SA (A07015902)",POINT (3.38268378466099 39.596922463279334)
HA/1421,PORTALS HILLS HOTEL & RESIDENCE,Hotel apartament,Allotjaments,5 estrelles,01/01/1966,Alta,CALVIÀ,Portals Nous,"DE SEGUI, 4. 07181 Portals Nous, CALVIÀ, Mallorca","463,315.117455","4,376,538.1382",104,31,BLISS HOSPITALITY PORTALS SL (B57773400),POINT (2.5730973691341386 39.537723840813555)
HA/1447,ANBA ROMANI,Hotel apartament,Allotjaments,4 estrelles,01/01/1966,Alta,SANT LLORENÇ DES CARDASSAR,Cala Millor,"Carrer CRISTÒFOL COLOM, 9. Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca",,,386,194,"MARBEL CAN PASTILLA, SL (B57690737)",
HA/1592,MORLANS,Hotel apartament,Allotjaments,3 estrelles,29/03/1967,Alta,CALVIÀ,Peguera,"ORIENTE 8, S/N. 07160 Peguera, CALVIÀ, Mallorca","453,444.607242","4,376,538.73792",16,8,MIMAGO SL (B07622368),POINT (2.4582383319307994 39.53725065810598)
HA/1631,AFRICA MAR,Hotel apartament,Allotjaments,3 estrelles,08/06/1967,Alta,SANTA MARGALIDA,Can Picafort,"Passeig JOSEP TRIAS, 28. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","512,620.279845","4,401,911.13191",117,35,DEIRDRE HOTELS SL (B07786676),POINT (3.1473486728723374 39.76703363131971)
HA/1634,CONDOR,Hotel apartament,Allotjaments,3 estrelles,01/01/1967,Alta,PALMA,Platja De Palma,"Carrer MAR ARABIG, 1. 07600 Platja De Palma, PALMA, Mallorca","478,116.682475","4,374,747.6191",67,36,Clot Hotels SL (B16629958)  des de 03/12/2021,POINT (2.7454002394361012 39.52209543819629)
HA/1718,BEN-HUR,Hotel apartament,Allotjaments,2 estrelles,01/01/1968,Alta,PALMA,Platja De Palma,"MAR MENOR,24.LAS MARAVILLAS, S/N. 07600 Platja De Palma, PALMA, Mallorca","478,123.106098","4,374,711.78814",128,57,ARRENDAMIENTOS TURISTICOS AMESES S.L. (B07607724),POINT (2.7454761523620244 39.52177274847892)
HA/1776,LA SANTA MARIA,Hotel apartament,Allotjaments,3 estrelles,01/01/1968,Alta,SANT LLORENÇ DES CARDASSAR,Cala Millor,"CRISTÒFOL COLOM, 104. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca","532,742.672653","4,382,938.28212",238,131,"EXPLOTACIONS MESPO, SL (B57703142)",POINT (3.3813438263806037 39.59555034380812)
HA/1803,MARINS PLAYA SUITE,Hotel apartament,Allotjaments,4 estrelles,01/05/1968,Alta,SON SERVERA,Cala Millor,"Carrer CA NA LLAMBIES, 41. 07550 Cala Millor, SON SERVERA, Mallorca","533,336.132808","4,384,241,287",155,70,MARINS PLAYA SA (A07158223),POINT (-177.4332323527901 -46.34653251913406)
HA/1886,GRAN BAHIA,Hotel apartament,Allotjaments,4 estrelles,01/01/1969,Alta,SANTA MARGALIDA,Can Picafort,"ALMIRANTE CERVERA, 1. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","513,114.7043575","4,401,771.12513",298,158,SIBU SA (A07036205),POINT (3.1531185362251115 39.7657646794024)
HA/1903,GRAN VISTA & SPA,Hotel apartament,Allotjaments,4 estrelles,01/06/1969,Alta,SANTA MARGALIDA,Can Picafort,"ARTA - PORT D'ALCUDIA, 68. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","513,416.716727","4,400,888.03437",852,440,GRUPOTEL DOS SA (A07919087),POINT (3.1566265918475067 39.75780320248407)
HA/1976,CLUB HOTEL CALA RATJADA,Hotel apartament,Allotjaments,3 estrelles,25/08/1969,Alta,CAPDEPERA,Cala Rajada,"Carrer VERGE DE LA ESPERANÇA, 18. 07590 Cala Rajada, CAPDEPERA, Mallorca","539,630.133683","4,396,650.84512",530,293,CLUB HOTEL CALA RATJADA SL (B07035025),POINT (3.4623802446303076 39.718810188984904)
HA/2004,FLACALCO,Hotel apartament,Allotjaments,3 estrelles,24/04/1970,Alta,CAPDEPERA,Cala Rajada,"BUSTAMANTE, 39. 07590 Cala Rajada, CAPDEPERA, Mallorca","539,416.41952","4,395,829.55427",77,39,FLACALCO SL (B07661069),POINT (3.459837694366632 39.71142029804171)
HA/2076,PLAYA ESPERANZA RESORT,Hotel apartament,Allotjaments,4 estrelles,20/06/1970,Alta,MURO,Platja De Muro,"Avinguda S'ALBUFERA, 4. 07458 Platja De Muro, MURO, Mallorca",,,"1,287",565,"HOTEL PLAYA ESPERANZA, SL (B07026701)",
HA/2136,RAXA,Hotel apartament,Allotjaments,2 estrelles,14/07/1970,Alta,PALMA,Platja De Palma,"Carrer GARZA, 14. 07610 Platja De Palma, PALMA, Mallorca","476,924.231982","4,375,638.69101",46,23,Best 1 International SL (B57943318)  des de 31/08/2023,POINT (2.731495986221331 39.5300931783063)
HA/2151,KONTIKI PLAYA,Hotel apartament,Allotjaments,4 estrelles,11/06/1970,Alta,PALMA,Platja De Palma,"MARBELLA, 30. 07600 PALMA, Mallorca","477,371.798613","4,375,072.99456",591,273,ALLTOURS ESPAÑA SL (B35379841),POINT (2.736722960388991 39.52500791471108)
HA/2189,TONGA TOWER DESIGN HOTEL & SUITES,Hotel apartament,Allotjaments,4 estrelles,01/01/1973,Alta,SANTA MARGALIDA,Can Picafort,"ALCUDIA-ARTÀ NÚM 78, S/N. 07458 Can Picafort, SANTA MARGALIDA, Mallorca","512,934.123732","4,401,483.39739",925,374,HOTEL TONGA RESORT SL (B57113060),POINT (3.151004541256456 39.76317497476334)
HA/2230,NUEVAS PALMERAS,Hotel apartament,Allotjaments,3 estrelles,21/06/1971,Alta,ALCÚDIA,Port D'Alcúdia,"Carrer MINERVA, 15. 07400 Port D'Alcúdia, ALCÚDIA, Mallorca",,,376,179,"RESORTS MALLORCA HOTELS INTERNATIONAL, SL (B07993991)  des de 07/12/2018",
HA/2311,CAP DE MAR,Hotel apartament,Allotjaments,4 estrelles,01/01/1969,Alta,SON SERVERA,Cala Bona,"MARITIM, 5. 07559 Cala Bona, SON SERVERA, Mallorca","533,508.42579","4,384,674.80898",213,71,NA PAXINTA SA. (A07036536),POINT (3.3903499611544667 39.61116720590891)
HA/2434,Hotel- Apartamento Globales Panamá,Hotel apartament,Allotjaments,4 estrelles,22/05/1975,Alta,CALVIÀ,Palmanova,"PARIS, 4. 07181 Palmanova, CALVIÀ, Mallorca","460,297.624813","4,374,818.26252",366,187,"AMLA EXPLOTACIONES TURISTICAS, SA (A83791558)  des de 07/06/2021",POINT (2.5380864809707315 39.52209308220374)
HA/2475,PRINCESA,Hotel apartament,Allotjaments,4 estrelles,20/10/1978,Alta,ALCÚDIA,Port D'Alcúdia,"Avinguda MINERVA, 11. 07400 Port D'Alcúdia, ALCÚDIA, Mallorca","510,597.019661","4,409,834.55006",202,102,"RESORTS MALLORCA HOTELS INTERNATIONAL, SL (B07993991)  des de 07/12/2018",POINT (3.123854073717295 39.838451921191925)
HA/2487,TRH JARDIN DEL MAR,Hotel apartament,Allotjaments,3 estrelles,26/05/1980,Alta,CALVIÀ,Santa Ponça,"Carrer HUGUET D'ES FAR, S/N. 07180 Santa Ponça, CALVIÀ, Mallorca","454,628.160813","4,374,636.83993",582,199,"TR HOTEL JARDIN DEL MAR, SA (A84511567)",POINT (2.472140476646045 39.52017764016095)
HA/2495,NOU CAN GUILLEM,Hotel apartament,Allotjaments,2 estrelles,04/06/1980,Alta,SANTANYÍ,Cala Figuera,"Carrer CREUER BALEARS, 4. 07659 Cala Figuera, SANTANYÍ, Mallorca","514,537.753733","4,353,401.2891",15,7,"CHE BOLUDO MALLORCA, SL (B67978866)  des de 28/02/2022",POINT (3.16867447768536 39.32990673260053)
HA/2544,JARDIN DEL SOL,Hotel apartament,Allotjaments,4 estrelles,01/01/1982,Alta,CALVIÀ,Costa De La Calma,"HUGUET DES FAR (URB ES CASTELLOT), 5. 07180 Costa De La Calma, CALVIÀ, Mallorca","454,446.808978","4,374,606.98022",737,261,JARDIN DEL SOL SA (A07085277),POINT (2.470032744454123 39.519899000283246)
HA/2561,MINIGOLF,Hotel apartament,Allotjaments,1 estrella,24/03/1986,Alta,CAPDEPERA,Canyamel,"MELESIGENI, SN. 07589 Canyamel, CAPDEPERA, Mallorca","536,639.913567","4,394,218.80233",22,9,JUANA LLINAS MARTI,POINT (3.4273579135649506 39.69703116581443)
HA/2575,Marsenses Rosa del Mar Hotel & Apartamentos,Hotel apartament,Allotjaments,4 estrelles,09/06/1987,Alta,CALVIÀ,Palmanova,"Avinguda CAS SABONERS, S/N. 07181 Palmanova, CALVIÀ, Mallorca","459,824.513503","4,374,211.30343",395,185,Mar Senses SL (B01773373)  des de 02/06/2021,POINT (2.532618938404381 39.5166022276298)
HA/2591,PAGUERA BEACH,Hotel apartament,Allotjaments,4 estrelles,13/02/1989,Alta,CALVIÀ,Peguera,"Carrer EUCALIPTUS, 11. 07160 Peguera, CALVIÀ, Mallorca","452,506.169453","4,376,747.61759",194,103,"PAGUERSA, SA (A07129513)",POINT (2.447303346374466 39.53908127585507)
HA/2592,CLUB B BY BH MALLORCA,Hotel apartament,Allotjaments,3 estrelles,13/04/1989,Alta,CALVIÀ,Magaluf,"Carrer BLANCA, 7. 07181 Magaluf, CALVIÀ, Mallorca","459,619.878842","4,373,237.09883",560,280,INVERSIONES INMOBILIARIAS CALA LLONGA SA (A07052228)  des de 28/03/2023,POINT (2.5302975107716805 39.50781479702557)
HA/2597,BLUE SEA CLUB MARTHA'S,Hotel apartament,Allotjaments,4 estrelles,17/07/1989,Alta,SANTANYÍ,Cala D'Or,"Carrer PARC DE LA MAR, 6-8. 07660 Cala D'Or, SANTANYÍ, Mallorca","519,568.216553","4,357,221.76555",631,279,"HOTELS & RESORTS BLUE SEA MANAGEMENT, SL (B57817215)  des de 20/06/2019",POINT (3.227151533950579 39.3642328763387)
